480 -> Binary: 111100000, Hexadecimal: 1E0
 59 -> Binary:    111011, Hexadecimal:  3B
331 -> Binary: 101001011, Hexadecimal: 14B
416 -> Binary: 110100000, Hexadecimal: 1A0
410 -> Binary: 110011010, Hexadecimal: 19A
383 -> Binary: 101111111, Hexadecimal: 17F
240 -> Binary:  11110000, Hexadecimal:  F0
393 -> Binary: 110001001, Hexadecimal: 189
342 -> Binary: 101010110, Hexadecimal: 156
449 -> Binary: 111000001, Hexadecimal: 1C1
487 -> Binary: 111100111, Hexadecimal: 1E7
487 -> Binary: 111100111, Hexadecimal: 1E7
156 -> Binary:  10011100, Hexadecimal:  9C
461 -> Binary: 111001101, Hexadecimal: 1CD
301 -> Binary: 100101101, Hexadecimal: 12D
  2 -> Binary:        10, Hexadecimal:   2
467 -> Binary: 111010011, Hexadecimal: 1D3
 81 -> Binary:   1010001, Hexadecimal:  51
442 -> Binary: 110111010, Hexadecimal: 1BA
 19 -> Binary:     10011, Hexadecimal:  13
368 -> Binary: 101110000, Hexadecimal: 170
  7 -> Binary:       111, Hexadecimal:   7
 77 -> Binary:   1001101, Hexadecimal:  4D
205 -> Binary:  11001101, Hexadecimal:  CD
 19 -> Binary:     10011, Hexadecimal:  13
448 -> Binary: 111000000, Hexadecimal: 1C0
 37 -> Binary:    100101, Hexadecimal:  25
290 -> Binary: 100100010, Hexadecimal: 122
 63 -> Binary:    111111, Hexadecimal:  3F
384 -> Binary: 110000000, Hexadecimal: 180
135 -> Binary:  10000111, Hexadecimal:  87
198 -> Binary:  11000110, Hexadecimal:  C6
 56 -> Binary:    111000, Hexadecimal:  38
 11 -> Binary:      1011, Hexadecimal:   B
368 -> Binary: 101110000, Hexadecimal: 170
  8 -> Binary:      1000, Hexadecimal:   8
232 -> Binary:  11101000, Hexadecimal:  E8
294 -> Binary: 100100110, Hexadecimal: 126
198 -> Binary:  11000110, Hexadecimal:  C6
210 -> Binary:  11010010, Hexadecimal:  D2
178 -> Binary:  10110010, Hexadecimal:  B2
270 -> Binary: 100001110, Hexadecimal: 10E
454 -> Binary: 111000110, Hexadecimal: 1C6
330 -> Binary: 101001010, Hexadecimal: 14A
473 -> Binary: 111011001, Hexadecimal: 1D9
118 -> Binary:   1110110, Hexadecimal:  76
359 -> Binary: 101100111, Hexadecimal: 167
365 -> Binary: 101101101, Hexadecimal: 16D
189 -> Binary:  10111101, Hexadecimal:  BD
 76 -> Binary:   1001100, Hexadecimal:  4C
229 -> Binary:  11100101, Hexadecimal:  E5
 94 -> Binary:   1011110, Hexadecimal:  5E
215 -> Binary:  11010111, Hexadecimal:  D7
 89 -> Binary:   1011001, Hexadecimal:  59
 13 -> Binary:      1101, Hexadecimal:   D
488 -> Binary: 111101000, Hexadecimal: 1E8
